wallet,abridge,amount
bc1p2344tp4n8c47jpuekprrxdztt4v0u79ghqwtgn9y9k4u3kwex7nqt866up,bc1p...66up,530
bc1prlfvpa4dxxqxz3pmn3aa0zyja50067qvemyng37c9p5yyuht3e8sp2s8ge,bc1p...s8ge,141
bc1pjyslelnlyep45sjx8kc5u34qdeceq6uwsdsuhtqme4egksprk5kqsvm2fj,bc1p...m2fj,136
bc1phdk6wmfan2mz2268hntjckldkwhgq04qjhv76rpt5tzwpdksp76qge2pc7,bc1p...2pc7,105
bc1qj2x0d7c588g7k65lr8pmeu2qhcevwhmp7rqe4v,bc1q...qe4v,101
bc1pfxj09g6n8l2cevghgyvhrp5reyeyg7a7m8e5f29h7dtn95ggurzsw0a9c5,bc1p...a9c5,100
bc1pamud0qhgw9ektup42rvxy2hqypdvzxceyxyuusnzvqkaj8hguazsqam6aa,bc1p...m6aa,86
bc1pre0mxdwkga67sag8agj5d4yf7rjg7f4qts75p7x4h4e5erm9ests9qmnqe,bc1p...mnqe,66
bc1p47rmwnzr5lmk5dz5a5pf4vfm64qgvk7v6g4ast0kp3vqp35y5lfqlw7whg,bc1p...7whg,61
bc1p56mrtjxc7ttsnk6uvqw09xrf4krrs4ag43h0ndhzehkjscgcuetqv8j2ap,bc1p...j2ap,56
bc1pu8krp96t5gyn92j3j4x7892ffju0ppy2n5jh2xlaz6kd87e9cpls0u6e2y,bc1p...6e2y,50
bc1phr47l7z4z9wfcg8wee5g5apgmxtzaqeax20g3j0tw6fntkh50lvsvvtjfc,bc1p...tjfc,44
bc1pqsejtw02e5v9dj4xrmegpqcer6dk8ljhszyszkuh5krf7lj250hsx9cff5,bc1p...cff5,41
bc1pwcr7hgcv699sv87lnn4rw9nr4wngsye5z3cyr47f07grkpmaaqnsdmukt4,bc1p...ukt4,40
bc1pyjj72usm66djsd0qrc3j0q9rtrfm2szvrhtlrerw5ehma4p4pgzqpwxtjc,bc1p...xtjc,40
bc1peue852lvysy6sv3v2qjh42f2pm5cp25pcqraukd35urd42a4aczsw8jezg,bc1p...jezg,40
bc1phqgxnya6w3ps4gttlsu65qt088hjwgy8w2t6glklmpkauvqrexys6ldxc5,bc1p...dxc5,39
bc1psz0mupzlwd0z6fewdpekd9hupwf2hvsg8d33u5lz9ay8dtgq6ahsq8tuak,bc1p...tuak,39
bc1ppqyen8n249jhjnuzt52j0cf5aphqxrfaykgrukcg334g43ryml3qv2ca9l,bc1p...ca9l,38
bc1pv2ck35sq9fsgjw9dqm5akm9kr03r4et0se9eqesvygt4nxasgwnqwegvza,bc1p...gvza,36
bc1pvzyqfqyvr4t5hz50xjqal8d3vtcm25spsas5p0muv92g4zp6cqms3whmse,bc1p...hmse,36
bc1p2zq8qe9jtkay4ym500elud2jchp3t6ydnmw2n5yccnpf0a5wlnvsj8aq2c,bc1p...aq2c,32
bc1plw285t0ak9c2lv8t5d7n0w8d8tngplyh35rsvvwuzxd7tca89xqqwyar36,bc1p...ar36,31
bc1q3r4s2vvnrh235tv8vtjg4t9arw0e9rdym7qgxa,bc1q...qgxa,30
bc1p7r9vltt5ue5jmrwds5f7308dn8gwwf2fxr5695n9rp5xju3j0j4s7lzahr,bc1p...zahr,29
bc1qf87qznj0hnp9w8vuct0z4tmrcvm93vp7flx27q,bc1q...x27q,26
bc1pa5ux9rgxr0jlrzl4u45yn0qvx38lqlrjg6udznp70dlhgjdyfc8qu0ja0m,bc1p...ja0m,25
bc1pcctr9kzultgda5mfxf80p3e632tfwvcpupqukwl999vtxguq282qg55yma,bc1p...5yma,25
